Date,Close
2014-07-03,29.65
2014-07-07,29.54
2014-07-08,28.92
2014-07-09,29.17
2014-07-10,29
2014-07-11,29.33
2014-07-14,29.71
2014-07-15,29.65
2014-07-16,29.53
2014-07-17,29.04
2014-07-18,30.26
2014-07-21,29.92
2014-07-22,30.18
2014-07-23,30.26
2014-07-24,30.15
2014-07-25,29.9
2014-07-28,29.95
2014-07-29,29.7
2014-07-30,29.77
2014-07-31,28.98
2014-08-01,28.68
2014-08-04,29.11
2014-08-05,28.66
2014-08-06,28.72
2014-08-07,28.59
2014-08-08,28.9
2014-08-11,28.86
2014-08-12,28.61
2014-08-13,29.23
2014-08-14,29.23
2014-08-15,29.19
2014-08-18,29.64
2014-08-19,29.86
2014-08-20,29.77
2014-08-21,29.62
2014-08-22,29.63
2014-08-25,29.53
2014-08-26,29.41
2014-08-27,29.15
2014-08-28,29.02
2014-08-29,29.12
2014-09-02,29.43
2014-09-03,29.48
2014-09-04,29.66
2014-09-05,29.89
2014-09-08,30.08
2014-09-09,29.6
2014-09-10,29.67
2014-09-11,29.56
2014-09-12,29.25
2014-09-15,29.08
2014-09-16,29.44
2014-09-17,29.66
2014-09-18,29.86
2014-09-19,30.27
2014-09-22,29.86
2014-09-23,29.56
2014-09-24,29.92
2014-09-25,29.26
2014-09-26,29.4
2014-09-29,29.39
2014-09-30,29.42
2014-10-01,28.98
2014-10-02,29.04
2014-10-03,29.31
2014-10-06,29.39
2014-10-07,28.71
2014-10-08,29.19
2014-10-09,28.54
2014-10-10,27.76
2014-10-13,27.24
2014-10-14,27.43
2014-10-15,27.04
2014-10-16,26.85
2014-10-17,26.15
2014-10-20,26.62
2014-10-21,26.9
2014-10-22,27.13
2014-10-23,27.68
2014-10-24,27.45
2014-10-27,27.49
2014-10-28,27.95
2014-10-29,27.92
2014-10-30,28.01
2014-10-31,28.39
2014-11-03,28.19
2014-11-04,28.21
2014-11-05,27.8
2014-11-06,27.58
2014-11-07,27.59
2014-11-10,27.91
2014-11-11,28.06
2014-11-12,27.91
2014-11-13,27.82
2014-11-14,27.76
2014-11-17,27.33
2014-11-18,27.23
2014-11-19,27.36
2014-11-20,27.19
2014-11-21,27.29
2014-11-24,27.37
2014-11-25,27.46
2014-11-26,27.39
2014-11-28,27.45
2014-12-01,26.98
2014-12-02,26.93
2014-12-03,26.85
2014-12-04,27.13
2014-12-05,26.4
2014-12-08,26.54
2014-12-09,26.81
2014-12-10,26.4
2014-12-11,26.61
2014-12-12,26.08
2014-12-15,25.79
2014-12-16,24.91
2014-12-17,25.32
2014-12-18,25.73
2014-12-19,26
2014-12-22,26.62
2014-12-23,26.94
2014-12-24,26.85
2014-12-26,27.08
2014-12-29,26.87
2014-12-30,26.76
2014-12-31,26.53
2015-01-02,26.48
2015-01-05,25.97
2015-01-06,25.33
2015-01-07,25.26
2015-01-08,25.35
2015-01-09,25.04
2015-01-12,24.85
2015-01-13,25.09
2015-01-14,25.3
2015-01-15,25.2
2015-01-16,25.52
2015-01-20,25.5
2015-01-21,26.02
2015-01-22,26.87
2015-01-23,27.1
2015-01-26,26.84
2015-01-27,26.06
2015-01-28,25.62
2015-01-29,25.66
2015-01-30,26.88
2015-02-02,26.61
2015-02-03,26.67
2015-02-04,26.31
2015-02-05,26.49
2015-02-06,26.69
2015-02-09,26.46
2015-02-10,27.01
2015-02-11,26.9
2015-02-12,27.3
2015-02-13,27.56
2015-02-17,27.25
2015-02-18,27.13
2015-02-19,27.32
2015-02-20,27.09
2015-02-23,26.75
2015-02-24,26.93
